category,key,values
Fishing Rod,Brand Name,"['TSURINOYA', 'TSURINOYA', 'JSFUN', 'YINGTOUMAN', 'JSFUN', 'FISH KING', 'n/a', 'JOHNCOO', 'NOEBY', 'SeaKnight', 'FISH KING', 'Fenwick', 'Angler Dream', 'KastKing', 'Tideliner', 'SeaKnight', 'Catch.U', 'Angler Dream', 'DOAO', 'JOHNCOO', 'Spinpoler', 'FTK', 'SeaKnight', 'SeaKnight', 'FISH KING', 'Catch.U', 'THKFISH', 'POLAPOFEI', 'JOHNCOO', 'FTK', 'n/a', 'Angler Dream']"
Fishing Rod,Material,"['TORAY Carbon', 'Plastic', 'Carbon', 'Stainless Steel', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', '90% Carbon Fiber', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon Fiber', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon', 'Carbon']"
Fishing Rod,Section,"['2', 'n/a', '2', '2', '1', '2 Sections', '4 Section', '1', 'n/a', '2', '4']"
Fishing Rod,Action,"['Fast', 'Fast Action', 'ML', 'Medium']"
Fishing Rod,Model Number,"['Fishing Pole', 'Fishing Rod Guide', 'fg2001', 'IM12 7wt 11ft 3in 4SEC', 'FG161', 'Lure Rod', 'Telescopic Fishing Rod', 'Fly Fishing Rod', 'MAXWAY HONOR 2#', 'HMG', 'Fishing Rod', 'Geminus', 'Hard Casting Rod', '7151', 'Lure Rod', ' Fly Fishing Rods Reel', 'fg11', 'Fishing Rod', 'Fishing Rod', 'LH-2-X-4-X', 'Fishing Rod', '2.3mm-4.3mm', 'Fishing Rod', '-', 'n/a', 'Fishing Rods']"
Fishing Rod,Hardness,"['Hard', 'Hard', 'Hard', 'Superhard', 'n/a', 'n/a', 'Superhard', 'n/a', 'High Carbon Steel', 'Soft', 'Hard', 'n/a', 'n/a', 'Superhard']"
Fishing Rod,Length,"['11ft 3in', '1.8m/2.1m', '2.4m', '2.7m 3.6m 4.5m 5.4m 6.3m', '1.83m, 1.98m, 2.13m', '2.1m 2.4m', 'n/a', '7FT', '2.1m 2.4m 2.7m 3.0m 3.6m', '2.7M', '2.4m']"
Fishing Rod,Feature,"['Portable Fishing Pole', 'Spinning Lure Rod', 'n/a', 'n/a', '4 Section Fly Fishing Rod', 'Fly Rod', 'Fishing Rod Tackle', 'Fly Rod 9FT', 'Fishing Pole', 'Telescopic Fishing Rods', 'Fishing Rod Guide']"
Fishing Rod,Power,"['ML', 'UL', 'ML,M,MH,UL,L', 'M', 'XH', 'ML']"
Lure,Brand Name,"['SEAPESCA', 'SEAPESCA', 'SEAPESCA', 'FISH KING', 'MEREKING', 'MEREKING', 'ALLBLUE', 'MEREKING', 'MEREKING', 'SEAPESCA', 'ALLBLUE', 'FTK', 'KMRESA', 'ALLBLUE', 'Dongzhur', 'WALK FISH', 'FISH KING', 'n/a', 'MEREKING', 'HENGJIA', 'MEREKING', 'YTQHXY', 'SEAPESCA', 'YTQHXY', 'SeaKnight', 'SEAPESCA', 'RULAYMAN', 'n/a', 'Dongzhur', 'OUTKIT', 'n/a', 'ALLBLUE', 'SEAPESCA', 'NOEBY', 'JOHNCOO', 'ALLBLUE', 'YTQHXY', 'SEAPESCA', 'ROSEWOOD', 'FISH KING', 'SEAPESCA', 'Bimmor', 'FTK', 'SEAPESCA', 'SEAPESCA', 'SEAPESCA', 'NOEBY', 'MEREKING', 'SEAPESCA', 'YTQHXY', 'NOEBY', 'YTQHXY', 'FISH KING', 'Bimmor', 'SEAPESCA', 'SEAPESCA', 'MEREKING', 'SEAPESCA', 'SEAPESCA', 'wLure', 'fishgirl', 'FTK', 'YTQHXY', 'SEAPESCA', 'n/a', 'SeaKnight', 'YTQHXY', 'SEAPESCA']"
Lure,Model Number,"['YA24a', 'YA180', 'YA332', 'SK033', '7508', 'SPYCRANK 50F', 'YA204', 'Mepps', 'n/a', 'n/a', 'X091', 'YE-99', 'YA192', 'WQ373', 'Fishing Bait', 'ZB207', 'RM202', 'Minow Lures for Fishing', 'YDY7414', 'YA320B', 'n/a', 'YY320', 'YE-160', 'M109', 'YA331', 'MEPPS', 'DW45', 'YA12', 'WQ8146', 'Minnow Lure', 'n/a', 'Spinner Baits', 'JK15A', 'YA24', 'YA304A', 'YB433', 'YA88', 'YE-88', 'YE-16', 'n/a', 'Minnow', 'n/a', 'YA138', '6501', 'n/a', 'YA183', 'L540', 'FTK', 'Minnow Fishing Lure', '7503', 'YA210', 'MEPPS', 'Minnow SK039', 'YA235']"
Lure,Size,"['1#2#3#4#5#', '8cm', '3.5g / 2.5g / 1.5g', '6.5cm', '5.1cm', '8cm', '17cm', '7cm']"
Lure,Material,"['n/a', 'Metal', 'Zinc Alloy', 'Metal']"
Lure,Item,"['Spinner Bait', 'Spinner Bait', 'Hard Plastic Minow Lures for Fishing Artificial Crankbait Swim Baits', 'n/a', 'Mixed Color Metal Spoon Fishing Lure Kits']"
Lure,Lure Type,"['VIB', 'Minnow', 'Hard Fishing Lure', 'Minnow', 'Hard Bait', 'Minnow', 'Minnow', 'Hard Bait', 'Soft Lure', 'Minnow', 'Minnow', 'Minnow']"
Lure,Length,"['55mm', '80mm', '50mm', '80mm', '3.5cm', '50mm', '55mm 65mm 75mm', '125mm', '50mm', '14.5cm', '65mm', '35mm', '14.5cm', '70mm 90mm', '9.5cm', '90mm', '10cm', '45mm', '9cm', '11cm', '14cm', '4.5cm', '11cm', '100mm', '5cm', '10cm', '65mm', '79mm', '85mm', '9.5cm', '24mm', '14cm', '40mm', '65mm', '120mm', '125mm', '13cm', '85mm', '100mm', '5.5cm', '60mm', '4.7cm', '100mm', '5.5cm', '55mm', 'n/a', '9cm', '40mm', '90mm', '55mm', '110mm']"
Lure,Weight,"['11g', '4.5g', '0.6g', '5.5g', '19g', 'n/a', '0.75g', '12.5g', '22g', '4.2g', '15.8g', '6.4g', '2g', '5g', '18g', '6g', '11g', '4.4g', 'n/a', '8.9g', ' 7.5g', '41g', '20g', '0.8g', '2g', '8g', '18.5g', '23g', '0.7g', '6g', '40g', '13g', '17g', '7g', '2.2g', '18g', '5g', '10g', '8g', '5.4g', '5g', '1.6g', '16.2g', '11g', '3.5g', '4g', 'n/a', '14.5g', '13.4g', '17.3g', '6g', '17.3g', '21.2g', '13g', '10.4g', '0.7g', '1.9g', '15g', '10.5g', '7.5g', '12g', '7.5g', '3.5g', '27g', '7g', '32g', '1.4g', '11.36g', '9g']"
Lure,Quantity,"['3pcs/lot', '10pcs/lot', '10pcs/lot', '3pcs/lot', '10pcs/lot', '12pcs/lot']"
Lure,Name,"['FISH KING', 'FISH KING', 'FISH KING', 'Fishing Lures', 'FISH KING', 'FISH KING']"
Lure,Action,"['Topwater', 'Floating', 'Suspend', 'Topwater', 'Slowly Sinking', 'Sinking']"
Lure,Color,"['Green', 'n/a']"
Lure,Position,"['n/a', 'YDY7414', 'n/a', 'n/a', 'n/a', 'n/a']"
Baseball Caps,Pattern,"['Print', 'Solid', 'Cartoon', 'Letter', 'Letter', 'Solid', 'Print', 'Cartoon', 'n/a', 'Solid', 'Solid', 'Cartoon', 'Solid', 'Letter', 'Letter', 'Solid', 'Solid', 'Solid', 'Solid', 'Print', 'Print', 'Cartoon', 'Solid', 'Letter', 'Cartoon', 'Cartoon', 'Cartoon', 'n/a', 'Cartoon', 'Letter', 'Patchwork', 'Plaid', 'Cartoon']"
Baseball Caps,Gender,"['Unisex', 'Unisex', 'Unisex', 'n/a', 'Unisex', 'Women', 'Men', 'Unisex', 'Men', 'Unisex', 'Unisex', 'Men', 'Unisex', 'Men', 'Unisex', 'Women', 'Men', 'n/a', 'Women', 'Men', 'Unisex', 'n/a', 'Unisex', 'Unisex', 'Unisex', 'Men', 'Men', 'Women', 'Men', 'Unisex', 'Unisex']"
Baseball Caps,Style,"['n/a', 'n/a', 'n/a', 'Casual', 'Casual', 'Casual', 'Casual', 'Casual', 'Casual', 'Casual', 'Casual', 'Casual', 'Casual', 'n/a', 'Snapback', 'Casual', 'n/a', 'Casual']"
Baseball Caps,Brand Name,"['n/a', 'XEONGKVI', 'IOTTG', 'n/a', 'CLIMATE', 'CLIMATE', 'Laamei', 'n/a', 'ROPALIA', 'KingSwit', 'Xongkoro', 'AETRENDS', 'Long Keeper', 'FLB', 'SELLWORLDER', 'AETRENDS', 'IGGY', 'XdanqinX', 'AETRENDS']"
Baseball Caps,Department Name,"['Children', 'Adult', 'Adult', 'Adult', 'n/a', 'Adult', 'Children', 'Children', 'Adult', 'Children', 'Children', 'Children', 'Adult', 'n/a', 'Adult', 'Adult', 'n/a']"
Baseball Caps,Material,"['Cotton', 'Fur', 'Cotton', 'n/a', 'Linen', 'n/a', 'n/a', 'Leather', 'Cotton', 'n/a', 'n/a', 'Cotton', 'Cotton', 'Cotton', 'Cotton', 'n/a']"
Baseball Caps,Model Number,"['FBI', 'Baseball Caps', 'Baseball Cap', 'SEAL Seal Tactical Cap for Men', 'Z-5924', 'Star Wars Snapback', 'F159', 'Baseball Caps', 'O', 'Z-6342', 'Z-6278', ' Baseball Cap']"
Stove,Model,"['Gas Stove', 'BRS-71', 'Three Gas Burners', 'FMS-122', 'Outdoor Stove', 'GL011', 'Gas Stove Burner', 'n/a', 'n/a', 'n/a', 'Burner', 'BRS-H22', 'Three Gas Burners', 'BRS-H22', 'Gas Stove', 'BRS-H22', 'Gas refill adapter Convertor', 'Alcohol Stove', 'ALOCS CS-G18', 'LANSHAN ZYH - 001', 'Gas Stove', 'Three Gas', 'n/a', '1', 'Gas Stove']"
Stove,Stove Type,"['Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Alcohol Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Alcohol Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove', 'Gas Stove']"
Stove,Fuel,"['Gas', 'Butane', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'n/a', 'Butane', 'Gas', 'Firewood', 'Butane', 'Gas', 'Butagas LPG', 'Gas', 'Gas', 'Gas', 'n/a', 'n/a', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Gas', 'Butane', 'Firewood']"
Stove,Brand Name,"['BRS', 'OUTAD', 'n/a', 'UNE ROAD', 'BRS', 'n/a', 'BRS', 'BRS', 'BRS', 'n/a']"
Stove,Material,"['n/a', 'Stainless Steel', 'n/a', 'Stainless Steel', 'Aluminum Alloy', 'Stainless Steel', 'Aluminum Alloy', 'Stainless Steel', 'Stainless Steel', 'n/a', 'n/a', 'Stainless Steel', 'n/a', 'Aluminum Alloy', 'n/a', 'n/a', 'Stainless Steel', 'Stainless Steel']"
Stove,Applicable Seasoning Type,"['Gas', 'Butagas LPG', '-', 'Gas', 'n/a']"
Helmet,Head Circumference,"['n/a', '52-61 CM', '59cm', 'n/a', '54-62cm', '52cm', '54-60cm', 'n/a', 'n/a']"
Helmet,Model Number,"['n/a', 'Safety Helmet', 'Tactical Helmet Cover For MICH 2000', 'Snowboard Helmet', 'n/a', ' Safety Helmet', 'Tactical Fast Helmet Cover', 'Kickboxing Helmet']"
Helmet,Sport,"['Skiing', 'Riding', 'Skiing', 'Skating', 'Skiing', 'Skiing', 'Skiing', 'Rock Climbing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skating', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing']"
Helmet,Applicable People,"['Men', 'Child', 'Men', 'Men', 'Child', 'Men', 'Men', 'Child', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Women', 'Child', 'Men', 'Men', 'Child', 'Men', 'Men', 'Men', 'Men', 'Men', 'Child']"
Helmet,Brand Name,"['n/a', 'MagiDeal', 'LumiParty', 'OSHOW', 'NANDN', 'Maxkare', 'VESSOS', 'Goexplore', 'VESSOS']"
Helmet,Material,"['ABS', 'n/a', 'ABS', 'n/a', 'n/a', 'ABS', 'ABS', 'Foam padded inside', 'ABS', 'n/a']"
Helmet,Season,"['Winter', 'n/a', 'n/a', 'Winter', 'Universal', 'Winter', 'Winter', 'Universal', 'Universal', 'Winter', 'n/a', 'Winter', 'n/a', 'Winter']"
Helmet,Style,"['n/a', 'Half-covered', 'Portable', 'n/a', 'n/a', 'n/a']"
Helmet,Feature,"['Skiing Helmet', 'Bicycle Cycling Helmet', 'Ultralight', 'n/a']"
Swimwear,Brand Name,"['Womail', 'ZAFUL', 'CUPSHE', 'NAKIAEOI', 'n/a', 'MUQGEW', 'Riseado', 'Riseado', 'Zosmiu', 'CUPSHE', 'OULING', 'CALOFE', 'Fulaigesi', 'PENERAN', 'CUPSHE', 'LASPERAL', 'Riseado', 'Neploe', 'n/a', 'P&amp;j', 'CUPSHE', 'BAOHULU', 'CUPSHE', 'Maxmessy', 'Ariel Sarah', 'RXRXCOCO', 'LYSEACIA', 'MUQGEW', 'FS', 'MUQGEW', 'UMLIFE', 'HNMCHIEF', 'BTLIGE', 'MUQGEW', 'FENICAL', 'sporlike', 'NAKIAEOI', 'CUPSHE', 'MUQGEW', 'MUQGEW', 'n/a', 'Riseado', 'Lunamy', 'UMLIFE', 'NAKIAEOI', 'CUPSHE', 'Raintropical', 'M&amp;M', 'VGTOWN', 'VGTOWN', 'Riseado', 'HolaSukey', 'ROSAKINI', 'CUPSHE', 'Raintropical', 'n/a', 'MUQGEW', 'Riseado', 'CUPSHE', 'CUPSHE', 'JOCKMAIL', 'Riseado', 'TQSKK', 'Neploe', 'ALSOTO', 'Riseado', 'n/a', 'MUQGEW', 'INGAGA', 'PENERAN', 'BAOHULU', 'BAOHULU', 'CKAHSBI', 'MUQGEW', 'INGAGA', 'Womail']"
